,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep
34,2018-07-28,6,FALSE,TRUE,3293,1680,14865,9.43,0,61,0,1059,260,60,61,1970,-1,6,62.4452,212,1261.85992,0,0,1319.5196,667,98,195,0,2018-07-29T05:01:30.000,2018-07-29T08:40:30.000,219,47,2,127,18,21,2,24,16,22,58,10
35,2018-07-29,7,FALSE,TRUE,2748,1680,7613,4.82,103.63,59,34,780,364,0,0,1395,-1,0,0,58,296.35208,0,0,2345.13824,1315,96,,0,2018-07-30T05:28:00.000,2018-07-30T07:44:00.000,136,,,,,,,,,,,
36,2018-07-30,1,TRUE,FALSE,3182,1680,11774,8.1,179.83,59,59,948,287,35,34,1735,-1,8,81.5733,176,884.9361,0,0,1920.4152,1026,96,418,0,2018-07-30T22:29:00.000,2018-07-31T06:23:30.000,474,66,4,266,41,86,7,56,38,14,57,19
37,2018-07-31,2,TRUE,FALSE,3187,1680,12941,8.21,27.43,61,9,645,169,68,84,1752,-1,3,30.3446,210,1284.16013,0,0,1832.81384,1207,94,362,0,2018-07-31T22:46:00.000,2018-08-01T05:32:00.000,406,65,3,214,38,83,7,44,39,17,53,21
38,2018-08-01,3,TRUE,FALSE,3205,1680,9795,6.39,9.14,61,3,894,47,40,53,965,-1,15,164.80864,79,538.77952,9,114.15216,542.28112,377,,,,,,,,,,,,,,,,,
39,2018-08-02,4,TRUE,FALSE,2600,1680,8270,5.38,39.62,,13,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
40,2018-08-03,5,TRUE,FALSE,2952,1680,11278,6.16,36.58,,12,1440,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
41,2018-08-04,6,FALSE,TRUE,3131,1680,11771,7.47,64.01,,21,1296,45,24,75,950,-1,,,,,,,,,,,,,,,,,,,,,,,,,
42,2018-08-05,7,FALSE,TRUE,2888,1680,11385,7.45,39.62,,13,1084,320,18,18,1536,-1,,,,,,,,,,,,,,,,,,,,,,,,,
43,2018-08-06,1,TRUE,FALSE,2746,1680,6856,4.17,18.29,,6,1173,211,55,1,1175,-1,,,,,,,,,,,,,,,,,,,,,,,,,
44,2018-08-07,2,TRUE,FALSE,2497,1680,4366,2.78,0,61,0,1243,166,12,19,917,-1,0,0,123,611.44369,0,0,1393.63411,906,,,,,,,,,,,,,,,,,
